archivo,hoja,bloque_idx,fila_no,producto,unidad_medida,cant_solicitada,cant_devuelta,cant_adicional,cant_total_salida
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,0,1,AGUA BRISA PET 600 ML X 24,BANDEJA,,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,0,2,AGUA GAS BRISA LIMON 600 ML 6,BANDEJA,,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,0,3,COCACOLA  PET 400 ML X 12,BANDEJA,,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,0,4,COCACOLA  ZERO  PET 400 ML X 12,BANDEJA,,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,0,5,FUZE TEA MANGO X 400 ML X  6,BANDEJA,,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,0,6,FUZE TEA NEGRO LIMON X 400 ML X 6,BANDEJA,,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,1,1,AGUA BRISA PET 600 ML X 24,BANDEJA,1,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,1,2,COCACOLA  PET 400 ML X 12,BANDEJA,3,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,1,3,COCACOLA  ZERO 400 ML X 12,BANDEJA,1,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,1,4,GASEOSA CUATRO PET 400ML,BANDEJA,2,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,1,5,,,,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,1,6,,,,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,1,7,,,,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,1,8,,,,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,1,9,,,,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,1,10,,,,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,1,11,,,,,,
COCA_COLA_AGOSTO.xlsx,AGOSTO 12,1,12,,,,,,
