archivo,hoja,producto,unidad_medida,dia_del_mes,cantidad,total_fila
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,1,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,2,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,3,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,4,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,5,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,6,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,7,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,8,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,9,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,10,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,11,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,12,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,13,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,14,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,15,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,16,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,17,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,18,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,19,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,20,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,21,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,22,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,23,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,24,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,25,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,26,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,27,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,28,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,29,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,AGUACATE,LIBRAS,30,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,1,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,2,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,3,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,4,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,5,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,6,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,7,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,8,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,9,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,10,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,11,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,12,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,13,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,14,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,15,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,16,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,17,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,ARVEJA VERDE DESGRANADA,LIBRAS,18,,0
